,Defunciones
5011,-0.0743759298459894
622,-0.3043575154494825
4781,-0.2707016736538494
4835,-0.1753434552328888
3829,-0.3043575154494825
3362,-0.0575480089481728
1495,1.322341504672786
1759,-0.3043575154494825
1710,-0.3043575154494825
3823,-0.3043575154494825
5361,-0.2931389015176048
3006,-0.2875295945516659
2190,0.7389735802151448
3363,0.0322009025068488
4138,-0.3043575154494825
3539,0.5033826876457128
2717,-0.2594830597219716
3512,-0.2258272179263385
3856,-0.3043575154494825
4778,-0.2594830597219716
3021,-0.3043575154494825
4918,0.2060894184509534
1368,-0.2931389015176048
5194,-0.3043575154494825
1377,-0.1641248413010111
4121,-0.3043575154494825
3639,-0.2987482084835436
2131,9.5960692794326
1364,-0.3043575154494825
1835,-0.3043575154494825
408,2.4161563630308627
5266,-0.2931389015176048
1428,0.1331684278937482
2071,-0.3043575154494825
1077,3.90262270900466
3787,-0.3043575154494825
5090,-0.3043575154494825
3847,-0.3043575154494825
1912,-0.3043575154494825
1456,-0.2875295945516659
4092,-0.1809527621988276
3977,-0.3043575154494825
4840,-0.3043575154494825
1256,-0.3043575154494825
429,0.3575407065313025
5429,-0.3043575154494825
2017,-0.3043575154494825
5169,0.0434195164387265
5415,-0.3043575154494825
3414,-0.3043575154494825
3672,0.1331684278937482
2869,-0.2931389015176048
4303,-0.2707016736538494
4685,1.120406453898987
1127,-0.3043575154494825
1387,-0.2987482084835436
1448,0.929690017057066
4001,-0.3043575154494825
257,-0.2258272179263385
2809,-0.1809527621988276
3939,-0.3043575154494825
1349,-0.2931389015176048
3086,-0.3043575154494825
917,-0.2370458318582162
2568,0.7838480359426556
1760,-0.3043575154494825
3689,-0.2594830597219716
2797,-0.3043575154494825
1163,2.180565470461431
3740,-0.3043575154494825
1813,-0.3043575154494825
3519,0.5875222921347957
1366,-0.2931389015176048
3652,-0.3043575154494825
1531,-0.1529062273691334
1376,-0.1809527621988276
1965,-0.3043575154494825
5110,-0.3043575154494825
4107,-0.3043575154494825
4231,-0.3043575154494825
3007,-0.2987482084835436
85,0.0490288234046654
2616,1.1316250678308648
248,-0.3043575154494825
519,1.4289183370256242
3368,-0.3043575154494825
5331,-0.3043575154494825
3340,-0.0687666228800505
4167,-0.3043575154494825
4731,-0.2931389015176048
712,-0.3043575154494825
1277,-0.3043575154494825
3176,-0.2987482084835436
4492,-0.3043575154494825
4270,-0.2987482084835436
3760,-0.3043575154494825
809,0.1331684278937482
2920,-0.281920287585727
1544,-0.2931389015176048
724,-0.2370458318582162
1437,-0.2987482084835436
2519,-0.2707016736538494
501,3.431440923865796
4888,-0.2763109806197882
227,-0.3043575154494825
2612,0.8623783334657996
4670,-0.3043575154494825
3753,-0.3043575154494825
1875,-0.3043575154494825
3327,-0.3043575154494825
5279,0.3519313995653637
4582,-0.3043575154494825
3209,0.1780428836212591
642,-0.3043575154494825
3905,-0.3043575154494825
1068,-0.281920287585727
3817,-0.3043575154494825
3795,-0.3043575154494825
2270,-0.2987482084835436
2484,0.8904248682954939
1872,-0.3043575154494825
368,7.357955800022996
620,-0.2987482084835436
2200,-0.3043575154494825
4620,-0.3043575154494825
1754,-0.3043575154494825
621,-0.3043575154494825
2066,-0.3043575154494825
5435,-0.3043575154494825
5109,-0.3043575154494825
1768,-0.3043575154494825
3507,-0.3043575154494825
4531,1.2269832862518253
4120,-0.3043575154494825
364,2.090816559006409
4836,0.2285266463147088
4083,-0.3043575154494825
1698,-0.3043575154494825
3426,-0.2033899900625831
748,-0.2987482084835436
3282,-0.3043575154494825
2882,-0.3043575154494825
1834,-0.3043575154494825
2928,-0.3043575154494825
685,-0.2987482084835436
190,-0.1865620691647665
747,-0.1304689995053779
221,-0.2987482084835436
3490,-0.2650923666879105
203,-0.3043575154494825
1009,0.6997084314535729
1787,-0.3043575154494825
1412,-0.2875295945516659
36,-0.2426551388241551
5253,-0.1360783064713168
3392,-0.3043575154494825
1513,0.3351034786675471
2587,-0.2707016736538494
2137,-0.2931389015176048
1385,1.6028068529697286
1380,0.5258199155094683
4775,-0.3043575154494825
4244,-0.2987482084835436
4746,-0.1080317716416225
5267,-0.3043575154494825
1271,0.0322009025068488
1021,-0.2987482084835436
2255,-0.1865620691647665
3304,-0.3043575154494825
4594,0.1724335766553202
1232,-0.3043575154494825
2016,-0.3043575154494825
836,-0.3043575154494825
1148,-0.3043575154494825
2402,-0.3043575154494825
1439,-0.2987482084835436
1784,-0.3043575154494825
3213,-0.3043575154494825
182,-0.3043575154494825
382,-0.1921713761307054
1487,-0.1977806830966442
3378,-0.2987482084835436
1695,-0.3043575154494825
3151,-0.3043575154494825
4864,-0.2987482084835436
706,-0.3043575154494825
1423,-0.1080317716416225
4617,0.2397452602465865
3132,-0.3043575154494825
1774,-0.3043575154494825
3200,-0.2987482084835436
2267,-0.3043575154494825
4255,-0.2987482084835436
1757,-0.3043575154494825
2373,8.95660828531557
457,3.195850031296364
358,-0.2258272179263385
4105,-0.3043575154494825
1640,-0.3043575154494825
2829,-0.1977806830966442
2072,-0.3043575154494825
4310,-0.3043575154494825
929,-0.3043575154494825
663,-0.3043575154494825
4041,-0.3043575154494825
5322,-0.3043575154494825
482,1.585978932071912
4538,-0.2931389015176048
2708,-0.3043575154494825
1879,-0.3043575154494825
4637,-0.2089992970285219
2239,1.4233090300596851
2574,-0.2931389015176048
1888,-0.3043575154494825
