,grandes grupos CIE-10,mes,tramo edad cumplida,sexo,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,rango1,rango2,rango3,Defunciones
90,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
91,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
92,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
93,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
94,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
95,1,5,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.2887775893584492,-0.2786602615880048,-0.32259030829271296,-0.29874820848354366
96,1,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.2887775893584492,-0.2786602615880048,-0.32259030829271296,-0.29874820848354366
97,1,5,5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.24041877718545385,-0.293787579707229,-0.32259030829271296,-0.28752959455166593
98,1,5,6,0,2,1,0,1,0,1,0,0,1,0,1,1,0,1,-0.22429917312778871,-0.2635329434687805,-0.26540595436226366,-0.2538737527560328
99,1,5,6,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,-0.24041877718545385,-0.2786602615880048,-0.3035288569825632,-0.27631098061978826
100,1,5,7,0,0,2,0,0,1,4,0,2,2,0,1,0,0,0,-0.24041877718545385,-0.17276903475343483,-0.3035288569825632,-0.23704583185821623
101,1,5,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,-0.2726579853007841,-0.293787579707229,-0.28446740567241346,-0.28752959455166593
102,1,5,8,0,1,2,3,0,2,0,1,2,0,1,2,0,0,0,-0.15982075689712824,-0.23327830723033194,-0.28446740567241346,-0.22582721792633853
103,1,5,8,1,2,2,3,0,1,1,0,0,0,1,1,0,2,0,-0.15982075689712824,-0.2635329434687805,-0.26540595436226366,-0.2314365248922774
104,1,5,9,0,2,5,3,1,4,6,4,3,3,2,0,2,2,2,-0.04698352849347238,-0.021495853561192046,-0.20822160043181442,-0.08559454377786711
105,1,5,9,1,2,2,2,2,3,2,2,3,1,2,2,2,2,1,-0.11146194472413286,-0.14251439851498626,-0.18916014912166468,-0.14729692040319453
106,1,5,10,0,5,5,3,4,5,5,6,6,5,10,5,2,3,3,0.06585369991018347,0.19028660010794785,-0.07479144126076617,0.07146605126842086
107,1,5,10,1,6,2,6,3,6,4,4,5,5,3,0,4,4,7,0.0819733039678486,0.023886100796480784,-0.036668538640466666,0.026591595540910014
108,1,5,11,0,1,0,2,1,0,2,3,3,2,1,1,4,4,2,-0.22429917312778871,-0.127387080395762,-0.11291434388106568,-0.15851553433507226
109,1,5,11,1,4,0,3,3,0,1,2,6,3,3,5,3,7,7,-0.12758154878179798,-0.06687780791886488,0.0967616205305816,-0.04072008805035626
110,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
111,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
112,1,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.2887775893584492,-0.2786602615880048,-0.32259030829271296,-0.29874820848354366
113,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
114,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
115,1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
116,1,6,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.2887775893584492,-0.2786602615880048,-0.3035288569825632,-0.2931389015176048
117,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
118,1,6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.2887775893584492,-0.293787579707229,-0.3035288569825632,-0.29874820848354366
119,1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
120,1,6,6,0,2,2,1,1,0,2,0,0,1,0,1,0,0,1,-0.19205996501245848,-0.2484056253495562,-0.28446740567241346,-0.2426551388241551
121,1,6,6,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,-0.2726579853007841,-0.2635329434687805,-0.32259030829271296,-0.28752959455166593
122,1,6,7,0,1,0,0,3,2,2,2,1,0,1,0,1,1,1,-0.19205996501245848,-0.20302367099188337,-0.26540595436226366,-0.22021791096039967
123,1,6,7,1,0,0,0,1,0,0,0,1,0,3,0,0,1,0,-0.2726579853007841,-0.23327830723033194,-0.3035288569825632,-0.2707016736538494
124,1,6,8,0,3,1,2,2,1,2,2,2,1,2,1,2,3,4,-0.1437011528394631,-0.15764171663421053,-0.1319757951912154,-0.14729692040319453
125,1,6,8,1,0,0,1,0,1,2,1,1,0,1,2,0,1,3,-0.25653838124311895,-0.21815098911110764,-0.20822160043181442,-0.2314365248922774
126,1,6,9,0,1,3,4,3,2,3,4,6,2,3,1,4,3,4,-0.07922273660880262,-0.021495853561192046,-0.09385289257091592,-0.0631573159141117
127,1,6,9,1,1,2,1,1,2,4,3,3,0,1,0,2,1,0,-0.17594036095479335,-0.127387080395762,-0.26540595436226366,-0.18656206916476653
128,1,6,10,0,6,8,2,2,3,8,3,4,5,2,3,7,4,9,0.049734095852518354,0.03901341891570506,0.11582307184073135,0.065856744302482
129,1,6,10,1,2,6,4,5,6,4,3,5,3,2,7,2,2,4,0.0819733039678486,-0.036623171680416323,-0.036668538640466666,0.004154367677154587
130,1,6,11,0,0,0,2,0,2,1,2,4,3,4,0,2,1,4,-0.22429917312778871,-0.08200512603808915,-0.18916014912166468,-0.1641248413010111
131,1,6,11,1,2,1,8,4,4,3,3,7,2,3,0,8,5,5,0.017494887737188113,-0.021495853561192046,0.02051581528998259,0.004154367677154587
132,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.2887775893584492,-0.293787579707229,-0.3035288569825632,-0.29874820848354366
133,1,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.2786602615880048,-0.32259030829271296,-0.29874820848354366
134,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
135,1,7,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.2887775893584492,-0.2786602615880048,-0.3035288569825632,-0.2931389015176048
136,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
137,1,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
